20
10
200

1 1   0.78847217
1 2  -0.66913335
1 3  -1.24825156
1 4   0.24645881
1 5  -0.64604937
1 6  -0.13072782
1 7  -0.39109618
1 8   0.85543876
1 9   0.73983726
1 10   0.86647393
2 1  -1.09059667
2 2   0.69541539
2 3   0.42837604
2 4   0.91679985
2 5  -1.41525483
2 6  -0.58599427
2 7  -0.10569232
2 8   1.86114850
2 9   0.64874445
2 10   0.83315432
3 1   0.57353270
3 2  -0.82614385
3 3   0.47903864
3 4   1.02210739
3 5   0.15725562
3 6   2.63100672
3 7   1.26339448
3 8  -1.07747535
3 9  -0.02169209
3 10   0.94355559
4 1   0.87972801
4 2  -2.29651322
4 3  -0.72560834
4 4  -0.75146860
4 5   0.56759312
4 6  -2.03476828
4 7   0.11007274
4 8  -0.03368504
4 9  -0.18182382
4 10  -0.10194797
5 1   0.66713033
5 2  -0.91083831
5 3  -1.06912915
5 4   1.13759974
5 5   1.04091185
5 6   0.15074248
5 7   0.32909400
5 8  -1.28531513
5 9  -0.06244102
5 10   1.11285198
6 1   0.74568150
6 2  -1.46248998
6 3   1.73389267
6 4  -0.02010334
6 5  -1.02839936
6 6  -0.88659815
6 7   0.26718394
6 8   0.95862417
6 9  -0.66141081
6 10   0.64060046
7 1  -0.41504686
7 2  -0.00512197
7 3  -0.57699889
7 4   1.10140684
7 5   0.52152856
7 6   2.77547442
7 7   0.51215992
7 8  -1.04105660
7 9   1.76966821
7 10  -0.00039647
8 1  -1.12953598
8 2  -0.44792839
8 3   1.13607679
8 4   0.49333765
8 5  -0.51659379
8 6  -1.54327203
8 7  -0.28156466
8 8  -0.29946528
8 9   1.24331726
8 10   0.26865663
9 1  -0.65601410
9 2  -0.54102224
9 3   0.05689167
9 4  -0.21509689
9 5   0.04270878
9 6   0.02860989
9 7  -1.37273165
9 8  -0.68253975
9 9  -1.27032193
9 10  -0.83308945
10 1   1.33503994
10 2  -0.75265942
10 3   0.78889073
10 4  -0.88376927
10 5  -1.19795077
10 6   0.60888356
10 7  -0.33103507
10 8   0.30780717
10 9   0.84250003
10 10   1.09277508
11 1   0.15335769
11 2   0.06679085
11 3  -1.27316960
11 4  -0.70692844
11 5  -0.08070451
11 6   2.78998748
11 7  -0.24443490
11 8  -0.23601457
11 9   1.31141348
11 10  -0.93480820
12 1   0.42742020
12 2  -0.37113463
12 3   0.23634044
12 4  -0.17647992
12 5   0.14182534
12 6   0.37848323
12 7   0.05560100
12 8   0.99046876
12 9  -0.66532970
12 10   0.29857716
13 1  -0.98620135
13 2   0.23022013
13 3   1.13926065
13 4   0.21714186
13 5  -0.11483406
13 6  -0.11504787
13 7   2.19540500
13 8   0.19229648
13 9  -0.38594002
13 10   0.10997161
14 1  -0.34298463
14 2  -2.70051624
14 3  -0.64201552
14 4   1.18570892
14 5   0.69673909
14 6  -2.16590390
14 7  -1.05152690
14 8  -2.64553618
14 9  -1.35341433
14 10   1.41966412
15 1   1.62806691
15 2   0.66220177
15 3   0.95452508
15 4  -0.02166071
15 5  -0.80001335
15 6   0.08011908
15 7  -0.77102336
15 8  -1.64529790
15 9   0.62981968
15 10  -1.62349624
16 1   0.12762232
16 2   0.74992714
16 3   1.54732593
16 4  -1.49038407
16 5  -0.30530192
16 6  -1.14260418
16 7  -0.07073844
16 8  -1.91667645
16 9   0.75049330
16 10   0.27793521
17 1  -0.72895885
17 2   1.30763369
17 3  -0.62179460
17 4   0.68304931
17 5  -0.04509291
17 6  -1.39150360
17 7   1.45081555
17 8   0.25127979
17 9  -0.46708517
17 10  -1.03528703
18 1  -0.78113843
18 2  -0.22888204
18 3  -1.27545364
18 4  -0.68575483
18 5  -0.17709261
18 6  -1.53394070
18 7  -0.27279709
18 8   0.44420802
18 9   0.01893561
18 10  -0.17705248
19 1   0.62180813
19 2  -1.12118155
19 3   0.40190476
19 4   1.02879436
19 5   3.01428852
19 6  -1.19775874
19 7  -0.37928094
19 8  -1.23080890
19 9   0.57928796
19 10   0.88694174
20 1  -0.05528421
20 2  -1.31416140
20 3   0.34703547
20 4  -0.51871711
20 5   0.51688677
20 6  -1.84797841
20 7   0.04908979
20 8   1.66776926
20 9  -0.34933315
20 10   0.35953145
